interconnectorId,season,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw
INTGRNL,Autumn,Ireland (Greenlink),IRELAND,518,2025-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,4368,4368,0,100.0,2184.0,15.2014652014652,83.51648351648352,1.282051282051282,export,-332.66483516483515,-514.0,-514.0,-514.0,-224.0,350.0,262.71385542168673,446.140899122807,506.0,516.0,516.0,514.0,-64.22101064958207,-99.22779922779922,-99.22779922779922,67.56756756756756,50.71696050611713,86.1275867032446,99.61389961389962,99.22779922779922,87.221,813.7610000000002,-726.5400000000001,900.9820000000001,120,39.569498511564,58.01282051282052,0.0,0.0,0.0,0.0,16.0,1.0
INTGRNL,Spring,Ireland (Greenlink),IRELAND,518,2025-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,8832,21936,13104,40.26258205689278,4416.0,12.850996376811594,86.53759057971014,0.6114130434782609,export,-369.6940670289855,-514.0,-514.0,-514.0,-310.0,166.89999999999782,156.37180616740088,450.4278424702342,506.0,516.0,516.0,514.0,-71.36951100945666,-99.22779922779922,-99.22779922779922,32.2200772200768,30.18760736822411,86.95518194406066,99.61389961389962,99.22779922779922,88.741,1721.3100000000002,-1632.569,1810.0510000000002,191,12.538864827900614,58.23143115942029,0.0,0.0,0.0,0.0,5.5,1.0
INTGRNL,Summer,Ireland (Greenlink),IRELAND,518,2025-06-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,5854,18958,13104,30.878784681928472,2927.0,8.199521694567817,83.0543218312265,8.746156474205671,export,-345.0700375811411,-500.0,-514.0,-514.0,-200.0,72.0,202.4125,435.45824763471825,506.0,518.0,518.0,514.0,-66.61583737087666,-96.52509652509652,-99.22779922779922,13.8996138996139,39.07577220077221,84.06529877118112,100.0,99.22779922779922,48.579,1058.5990000000002,-1010.0200000000001,1107.178,149,11.318246557999682,50.81995216945678,0.0,0.0,0.0,0.0,181.5,1.0
INTGRNL,Winter,Ireland (Greenlink),IRELAND,518,2025-01-30 00:00:00+00:00,2026-02-28 23:30:00+00:00,5760,18960,13200,30.37974683544304,2880.0,20.97222222222222,76.875,2.1527777777777777,export,-286.9951388888889,-493.0,-514.0,-514.0,-49.5,218.20000000000073,222.82119205298014,434.11472448057816,506.0,514.0,514.0,514.0,-55.404466966966964,-95.17374517374517,-99.22779922779922,42.123552123552265,43.015674141501954,83.80593136690696,99.22779922779922,99.22779922779922,134.584,961.1300000000001,-826.5460000000002,1095.7140000000002,174,13.215886913866765,50.71180555555556,0.0,0.0,0.0,0.0,19.0,1.0
INTIFA2,Autumn,IFA2 (INTIFA2),FRANCE,1626,2021-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,21832,74496,52664,29.30627147766323,10916.0,47.17845364602418,52.74825943569073,0.07328691828508611,export,155.4107731769879,-2.0,-1030.0,-198.5,908.0,992.0,769.1811650485437,393.3343174713442,1398.0,1030.0,1398.0,1030.0,9.557858128966044,-0.12300123001230012,-63.34563345633456,61.00861008610086,47.305114701632455,24.190302427511945,85.97785977859779,63.34563345633456,3961.2830000000004,2264.819,1696.464,6226.102,471,9.104503657963622,57.759252473433484,11.231220227189446,0.0,0.009160864785635764,11.22205936240381,1.5,1.0
INTIFA2,Spring,IFA2 (INTIFA2),FRANCE,1626,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,78.19450106445622,21.733025320469267,0.07247361507451193,import,531.9402092675635,954.0,-1028.0,166.0,992.0,992.0,844.4363088686787,590.6335973322217,1178.0,1626.0,1626.0,1028.0,32.71465001645532,58.671586715867164,-63.22263222632226,61.00861008610086,51.93335232894703,36.324329479226435,100.0,63.22263222632226,7288.752,1416.9300000000003,5871.822,8705.682,491,9.484995237648068,80.21470308465824,7.260950310277664,0.004529600942156996,0.018118403768627982,7.2428319065090365,1.5,1.0
INTIFA2,Summer,IFA2 (INTIFA2),FRANCE,1626,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,22074,87646,65572,25.185404924354792,11037.0,64.52840445773307,35.41270272719036,0.058892815076560655,import,333.2971822053094,610.0,-1028.0,-4.0,990.0,992.0,775.0484414490312,471.0999104515799,1156.0,1030.0,1156.0,1028.0,20.49798168544338,37.51537515375154,-63.22263222632226,61.00861008610086,47.665955808673495,28.972934222114386,71.09471094710948,63.22263222632226,5519.895,1841.2939999999999,3678.601,7361.189,388,6.374807461920246,69.09033251789435,10.514632599438253,0.0,0.01359064963305246,10.5010419498052,1.5,1.0
INTIFA2,Winter,IFA2 (INTIFA2),FRANCE,1626,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21631,74448,52817,29.055179454115628,10815.5,56.86283574499561,43.03545836993204,0.10170588507234987,import,290.36974712218574,244.0,-956.0,-4.0,964.0,992.0,731.2611382113821,291.49468256525944,996.0,1030.0,1030.0,992.0,17.857918027194696,15.006150061500614,-58.794587945879464,61.00861008610086,44.97300973009731,17.927102248785943,63.34563345633456,61.00861008610086,4497.256,1356.7620000000002,3140.494,5854.018,679,13.133638695985063,54.338680597290924,4.313254126022838,0.0,0.0,4.313254126022838,0.5,1.0
INTIRL,Autumn,Northern Ireland(Moyle),IRELAND,682,2021-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,21832,74496,52664,29.30627147766323,10916.0,27.720776841333823,69.6729571271528,2.606266031513375,export,-174.76823012092342,-288.0,-452.0,-452.0,28.0,400.0,228.07699933906147,341.5858260469397,500.0,506.0,506.0,452.0,-25.625840193683782,-42.22873900293255,-66.27565982404691,58.65102639296188,33.442375269657106,50.08589824735186,74.19354838709677,66.27565982404691,690.1610000000001,2597.931,-1907.77,3288.092,914,17.66776293710987,0.04580432392817882,0.0,0.0,0.0,0.0,12.0,1.0
INTIRL,Spring,Northern Ireland(Moyle),IRELAND,682,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,19.70829369932509,76.0791774244689,4.212528876206006,export,-221.4313538977216,-330.0,-452.0,-452.0,-18.0,324.0,212.28591128476214,346.046439628483,682.0,592.0,682.0,452.0,-32.46794045421137,-48.38709677419355,-66.27565982404691,47.50733137829912,31.12696646404137,50.7399471596016,100.0,66.27565982404691,461.8280000000001,2906.098,-2444.27,3367.9260000000004,780,15.067813208483695,0.018118403768627982,0.0,0.0,0.0,0.0,19.5,1.0
