project,connection_site,assigned_charging_zone,updated_charging_zone,latitude,longitude,location_basis,confidence,source_urls,notes,customer_name,project_status,host_to,plant_type,project_id,project_number
Conrad (Basingstoke) Limited,Bramley GSP,GZ25,,51.336154,-1.077733,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to BRAMLEY 400KV S/S.,CONRAD (BASINGSTOKE) LIMITED,Built,NGET,Energy Storage System,a0l8e0000012etVAAQ,PRO-004384
CONTEGO  Battery Storage Project,Bolney 132kV Substation,GZ25,,50.974313,-0.236401,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to BOLNEY 132KV S/S.,Harmony CS Ltd,Built,NGET,Energy Storage System,a0l4L0000005iUNQAY,PRO-001591
Cowley,Cowley 400kV Substation,GZ25,,51.711131,-1.189905,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to COWLEY 400KV S/S.,PIVOTED POWER LLP,Built,NGET,Energy Storage System,a0l4L0000005ibMQAQ,PRO-001015
Cowley (Tertiary),Cowley 400kV Substation,GZ25,,51.711131,-1.189905,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to COWLEY 400KV S/S.,COWLEY BALDON GREEN LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005ixTQAQ,PRO-000407
Cowley Energy Storage,Cowley 400kV Substation,GZ25,,51.711131,-1.189905,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to COWLEY 400KV S/S.,BW ESS DEVELOPMENT UK LIMITED,Scoping,NGET,Energy Storage System,a0l4L0000005ic8QAA,PRO-002066-1
Cowley Energy Storage,Cowley 400kV Substation,GZ25,,51.711131,-1.189905,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to COWLEY 400KV S/S.,BW ESS DEVELOPMENT UK LIMITED,Scoping,NGET,Energy Storage System,a0l4L0000005ic8QAA,PRO-002066-2
Cowley Farm,Cowley 400kV Substation,GZ25,,51.711131,-1.189905,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to COWLEY 400KV S/S.,COWLEY 2 RENEWABLES LTD,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000010wYTAAY,PRO-002677
Cowley Farm 2,Cowley 400kV Substation,GZ25,,51.711131,-1.189905,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to COWLEY 400KV S/S.,COWLEY 7 RENEWABLES LTD,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000010wdpAAA,PRO-002738
Culham Storage,Culham Jet 400kV Substation,GZ25,,51.661241,-1.228257,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to CULHAM JET 400KV S/S.,CULHAM STORAGE LIMITED,Scoping,NGET,Energy Storage System,a0l4L0000005iwLQAQ,PRO-001946
Dell Wind Farm,Dell 132kV Substation,GZ25,,51.358121,-0.463394,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/node/7389462665,Spatial point-in-polygon. Location matched to The Dell.,DELL WIND FARM LIMITED,Consents Approved,SHET,Wind Onshore,a0l4L0000005ibPQAQ,PRO-001012
Didcot A GTs,Didcot 400kV Substation,GZ25,,51.625281,-1.257584,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to DIDCOT 400KV S/S.,RWE Generation UK Plc,Built,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iVNQAY,PRO-000121
Didcot B,Didcot 400kV Substation,GZ25,,51.625281,-1.257584,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to DIDCOT 400KV S/S.,RWE Generation UK Plc,Built,NGET,CCGT (Combined Cycle Gas Turbine);Energy Storage System,a0l4L0000005inoQAA,PRO-000122
Didcot Battery,DIDCOT 400/132KV SUBSTATION,GZ25,,51.625281,-1.257584,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to DIDCOT 400KV S/S.,DIDCOT BATTERY LIMITED,Scoping,NGET,Demand;Energy Storage System,a0l4L0000005idCQAQ,PRO-001468
Didcot BESS 1,Chiltern Connection Node A 400kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Didcot 400kV Substation). Location matched to DIDCOT.,Downing Renewable Developments LLP,Scoping,NGET,Energy Storage System,a0l8e000000TPcAAAW,PRO-003446
Didcot BESS 2,Didcot 132kV GIS Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to DIDCOT.,Downing Renewable Developments LLP,Scoping,NGET,Energy Storage System,a0l8e000000TPcFAAW,PRO-003447
Didcot Energy Park,Didcot 400kV Substation,GZ25,,51.625281,-1.257584,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to DIDCOT 400KV S/S.,BROCKWELL STORAGE & SOLAR LIMITED,Awaiting Consents,NGET,Energy Storage System,a0l4L0000005ivKQAQ,PRO-002382
Didcot Farm,APPLEFORD 400kV SUBSTATION,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Didcot 400kV Substation). Location matched to DIDCOT.,APPLEFORD 2 RENEWABLES LTD,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000010wYxAAI,PRO-002683
Didcot Farm 2,APPLEFORD 400kV SUBSTATION,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Didcot 400kV Substation). Location matched to DIDCOT.,Appleford 7 Renewables Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000exN3AAI,PRO-003709
Didcot High Impact Green Energy Hub (HIGEH) 1,Appleford 400kV,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Didcot 400kV Substation). Location matched to DIDCOT.,TELIS ENERGY UK LIMITED,Scoping,NGET,CCGT (Combined Cycle Gas Turbine);Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,a0l8e0000010wVoAAI,PRO-002649
Didcot Road,Didcot 400kV Substation,GZ25,,51.625281,-1.257584,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to DIDCOT 400KV S/S.,TBC 001 LIMITED,Scoping,NGET,Energy Storage System,a0l4L0000005iMPQAY,PRO-002336
DRAGON GREEN BESS,Sussex and Romney Connection Node B 400kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Bolney 400kV Substation). Location matched to BOLNEY.,SHAW-ENERGI LTD,Scoping,NGET,Energy Storage System,a0l8e000000TPHiAAO,PRO-003237
EcoLovedean,Lovedean 400kV Substation,GZ25,,50.916889,-1.039099,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LOVEDEAN 400KV S/S.,Econergy International Limited,Scoping,NGET,Energy Storage System,a0l4L0000005iu2QAA,PRO-002230
Elstree BESS NP,ELSTREE B 275KV SUBSTATION,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ELSTREE.,ELSTREE FLEXPOWER LTD,Scoping,NGET,Energy Storage System,a0l8e0000010wh8AAA,PRO-002776
Elstree Energy Storage,Letchmore Heath 132kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Elstree 132kV Substation). Location matched to ELSTREE.,ELSTREE BATTERY STORAGE LIMITED,Scoping,NGET,Energy Storage System,a0l8e000000TPDlAAO,PRO-003205
Farnham BESS,Wrecclesham 33kV,GZ25,,51.192144,-0.826616,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://zenodo.org/records/10866260,Spatial point-in-polygon. Location matched to wrecclesham.,Harmony FM Limited,Built,NGET,Energy Storage System,a0l4L0000005iSKQAY,PRO-001939
Fleet (Tertiary),Fleet 400kV Substation,GZ25,,51.250732,-0.880157,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to FLEET 132KV S/S.,CSE23 LIMITED,Consents Approved,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005izAQAQ,PRO-001087
Fleet EGH (Tertiary),Fleet 400kV Substation,GZ25,,51.250732,-0.880157,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to FLEET 132KV S/S.,FLEET GREEN LIMITED,Consents Approved,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005ipwQAA,PRO-000544
Fleet Farm,Basingstoke East 400kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Bramley 400kV Substation). Location matched to BRAMLEY.,BASINGSTOKE EAST 2 RENEWABLES LTD,Scoping,NGET,Demand;Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000010wYYAAY,PRO-002678
Fleet Farm 2,Basingstoke East 400kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Bramley 400kV Substation). Location matched to BRAMLEY.,Basingstoke East 7 Renewables Ltd,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000010wduAAA,PRO-002739
Fleet Solar PV,Fleet 400kV Substation,GZ25,,51.250732,-0.880157,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to FLEET 132KV S/S.,FLEET SOLAR LIMITED,Awaiting Consents,NGET,PV Array (Photo Voltaic/solar),a0l8e0000010wklAAA,PRO-002814
Fleet Tertiary,Fleet 400kV Substation,GZ25,,51.250732,-0.880157,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to FLEET 132KV S/S.,FLEET SOLAR LIMITED,Scoping,NGET,Thermal,a0l4L0000005j00QAA,PRO-000429
Green Frog @ Down Barn Farm,Lovedean 400kV Substation,GZ25,,50.916889,-1.039099,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LOVEDEAN 400KV S/S.,VIRIDIS 178 LIMITED,Built,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iQJQAY,PRO-001261
Green Frog at Lester Way,Cowley GSP,GZ25,,51.711131,-1.189905,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to COWLEY 400KV S/S.,VIRIDIS 178 LIMITED,Built,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iVtQAI,PRO-000244
Grovers Farm BESS,West London Connection Node B 132kV substation,GZ25,,51.5,-0.45,settlement/regional proxy,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/,Named regional settlement proxy (west london). Location matched to west london. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Bluestone Energy Ltd,Scoping,NGET,Energy Storage System,a0l8e000000TPCnAAO,PRO-003196
Hookers Farm BESS,Bolney 132kV Substation,GZ25,,50.974313,-0.236401,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to BOLNEY 132KV S/S.,Ancleggan Limited,Consents Approved,NGET,Energy Storage System,a0l4L0000005iXEQAY,PRO-002308
Iver,Iver 275kV Substation,GZ25,,51.54197,-0.498096,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to IVER 132KV S/S.,Juniper Energy Limited,Scoping,NGET,Energy Storage System,a0l4L0000005ieNQAQ,PRO-001141
Kingsfold,Bolney GSP,GZ25,,50.974313,-0.236401,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to BOLNEY 132KV S/S.,GREENTECH PROJECTS HOLDING UK LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000012kcTAAQ,PRO-004710
KXP Alpha 1 Little Horsted,Sussex and Romney Connection Node A 400kV Substation,GZ25,,50.940749,0.120375,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Ninfield 400kV Substation). Location matched to LITTLE HORSTED 400KV S/S.,KXP ALPHA I LIMITED,Scoping,NGET,Energy Storage System,a0l8e000000eykzAAA,PRO-003776
KXP Alpha 2 Little Horsted,Sussex and Romney Connection Node A 400kV Substation,GZ25,,50.940749,0.120375,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Ninfield 400kV Substation). Location matched to LITTLE HORSTED 400KV S/S.,KXP ALPHA II LIMITED,Scoping,NGET,Energy Storage System,a0l8e000000eyl4AAA,PRO-003777
KXP Alpha 3 Little Horsted,Sussex and Romney Connection Node A 400kV Substation,GZ25,,50.940749,0.120375,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Ninfield 400kV Substation). Location matched to LITTLE HORSTED 400KV S/S.,KXP ALPHA III LIMITED,Scoping,NGET,Energy Storage System,a0l8e000000eyl5AAA,PRO-003778
Laleham,Laleham 132kV Substation,GZ25,,51.423779,-0.470239,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LALEHAM 275KV S/S.,Juniper Energy Limited,Scoping,NGET,Demand;Energy Storage System,a0l4L0000005iueQAA,PRO-001063-1
Laleham,Laleham 132kV Substation,GZ25,,51.423779,-0.470239,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LALEHAM 275KV S/S.,Juniper Energy Limited,Scoping,NGET,Demand;Energy Storage System,a0l4L0000005iueQAA,PRO-001063-2
Laleham BESS,Slough East 132kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Laleham 132kV Substation). Location matched to LALEHAM.,Acorn Power Limited,Scoping,NGET,Energy Storage System,a0l8e000001HxbbAAC,PRO-004277
Lanehurst Farm BESS,Sussex and Romney Connection Node B 132kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Bolney GSP). Location matched to BOLNEY.,ELGIN ENERGY ES CO LIMITED,Scoping,NGET,Energy Storage System,a0lJ9000000PDx1IAG,PRO-005083
Lightsource Shipley PV,Sussex and Romney Connection Node B 400kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Bolney 400kV Substation). Location matched to BOLNEY.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000exIeAAI,PRO-003707
Little Horsted,Little Horsted GSP,GZ25,,50.941934,0.120024,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to LITTLE HORSTED 400KV S/S.,CSE34 LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005iuAQAQ,PRO-002214
Little Horsted,Sussex and Romney Connection Node A 400kV Substation,GZ25,,50.940749,0.120375,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Ninfield 400kV Substation). Location matched to LITTLE HORSTED 400KV S/S.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000exRkAAI,PRO-003715
Little Horsted Energy Park,Sussex and Romney Connection Node A 400kV Substation,GZ25,,50.940749,0.120375,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Ninfield 400kV Substation). Location matched to LITTLE HORSTED 400KV S/S.,ELEMENTS GREEN DEVELOPMENT LTD,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e00000120NSAAY,PRO-003624
Lovedean (Tertiary),Lovedean 400kV Substation,GZ25,,50.916889,-1.039099,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LOVEDEAN 400KV S/S.,LOVEDEAN GREEN LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005inXQAQ,PRO-000484
Lovedean Greener Grid Park,Lovedean 400kV Substation,GZ25,,50.916889,-1.039099,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LOVEDEAN 400KV S/S.,Statkraft UK Ltd,Scoping,NGET,Energy Storage System;Reactive Compensation,a0l4L0000005iPLQAY,PRO-001855
Mill Hill Tertiary Connection,Mill Hill 275kV Substation,GZ25,,51.617989,-0.209248,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to MILL HILL 132KV S/S.,HB333MIL LTD,Consents Approved,NGET,Energy Storage System,a0l4L0000005iw8QAA,PRO-000493
Natpower Basingstoke Green Energy Park,Chiltern Connection Node B 400kV Substation,GZ25,,51.296449,-0.34485,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Fleet 400kV Substation). Location matched to FLEET.,FLEET HAMPSHIRE ENERGY LIMITED,Scoping,NGET,Energy Storage System,a0l8e000000expyAAA,PRO-003746
