Connection Site,TEC Project Names,TEC Customer Names,TEC Plant Types,TEC Project Numbers,TEC Register Source,Latitude,Longitude,Matched Feature,Match Type,Confidence,Match Score,Source URL,Source Description,Confidence Notes
Landulph 400kV Substation,Landulph,PIVOTED POWER LLP,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-001131-1 | PRO-001131-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.445281,-4.242698,LANDULPH 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LANDULPH 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Landulph GSP,Plymouth Main | Plymouth Rock,VIRIDIS 178 LIMITED,CHP (Combined Heat and Power),PRO-000362 | PRO-000363,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.445281,-4.242698,LANDULPH 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LANDULPH 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Langage 400kV Substation,Langage | Langage 400 | Langage Battery Storage | Langage Farm,EP LANGAGE LIMITED | ENSO GREEN HOLDINGS X LIMITED | LANGAGE ENERGY PARK LIMITED | Langage 10 Renewables Limited,CCGT (Combined Cycle Gas Turbine) | Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System,PRO-000200 | PRO-002192-1 | PRO-002192-2 | PRO-002192-3 | PRO-002016 | PRO-002561,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.389039,-4.012679,LANGAGE 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LANGAGE 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Lapwing Fen II (Walpole) IDNO Substation,Lapwing Fen II,ECLIPSE POWER NETWORKS LIMITED,Energy Storage System,PRO-001995,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.723308,0.171334,"Lapwing Fen II, Crown Farm",TEC project matched to DESNZ REPD,Medium,96.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 7606: Lapwing Fen II, Crown Farm; Crown Farm, Mill Road, West Walton, Wisbech, ; planning ref 19/02002/FM",TEC project matched to DESNZ REPD; score 96.0/100; next-candidate margin 96.0. Coordinates represent the matched mapped feature.
LAVENDON 400KV SUBSTATION,Grendon High Impact Green Energy Hub (HIGEH) 1,TELIS ENERGY UK LIMITED,Energy Storage System;Nuclear;PV Array (Photo Voltaic/solar);Reactive Compensation;Wind Onshore,PRO-002651,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.173412,-0.660332,Lavendon,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/16215891,OpenStreetMap named village: Lavendon,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Lawfield and Branxton Energy Park 400kV Substation,Lawfield and Branxton Energy Park,Cairn Duhie Energy Limited,Energy Storage System,PRO-002229,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,61.8,,,Best candidate 'Shirebrook Energy Park' scored 61.8; below reliability threshold.
Learlielaw Energy Storage 132kV Substation,Learielaw Energy Storage,Learielaw Energy Storage Limited,Energy Storage System,PRO-002531,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.920850,-3.463207,"Learielaw Farm, Learielaw -  Battery Energy Storage",TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 13368: Learielaw Farm, Learielaw -  Battery Energy Storage; Learielaw Farm, Learielaw, Broxburn; planning ref ECU00004983",TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
LEARNEY BESS 132KV,Learney BESS,IGP SOLAR 22 LIMITED,Energy Storage System,PRO-003241,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.572006,-4.462641,Lemarne Substation,Candidate infrastructure match,Low,85.7,https://www.openstreetmap.org/node/13595787822,OpenStreetMap named substation feature: Lemarne Substation,Candidate infrastructure match; score 85.7/100; next-candidate margin 2.4. Coordinates represent the matched mapped feature.
Leeds North Connection Node A 400kV Substation,TH Knaresborough,FRV Powertek Limited,Energy Storage System,PRO-004131,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.007923,-1.466825,Knaresborough,TEC project-derived locality proxy,Low,96.0,https://www.openstreetmap.org/node/53970285,OpenStreetMap named town: Knaresborough,"TEC project-derived locality proxy; score 96.0/100; next-candidate margin 96.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Leeds North Connection Node B 400kV Substation,Calderdale Wind Farm 312MW | Jackdaw BESS | Lightsource New Eggborough | Pollington Hybrid,CALDERDALE WIND FARM LTD | Downing Renewable Developments LLP | Lightsource Renewable UK Development Limited | EDF ENERGY RENEWABLES LIMITED,Wind Onshore | Energy Storage System | Energy Storage System;Wind Onshore | Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,PRO-004714 | PRO-004351 | PRO-004821 | PRO-005049,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,75.9,,,Best candidate 'Leeds North Substation' scored 75.9; below reliability threshold.
Leeds North Connection Node C 132kV Substation,Ferrybridge B - NEL Hunter | Fryston Lane 100MW BESS | NEL Conway2,UE 4 LTD | GPC 2008 Ltd | JJS 3 Limited,Energy Storage System,PRO-003608 | PRO-003620 | PRO-005043,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,75.9,,,Best candidate 'Leeds North Substation' scored 75.9; below reliability threshold.
Leeds North Connection Node C 400kV Substation,Brodsworth High Impact Green Energy Hub (Brodsworth HIGEH) | FCC Thurcroft BESS | NEL Bluebell | NEL Springfield | West Melton PV & BESS Station,TELIS ENERGY UK LIMITED | Downing Renewable Developments LLP | SFEL Bluebell Limited | UE 3 LTD | IBV WEST MELTON SOLAR PARK LIMITED,Energy Storage System;Nuclear;PV Array (Photo Voltaic/solar);Wind Onshore | Energy Storage System | Energy Storage System;PV Array (Photo Voltaic/solar),PRO-004506 | PRO-003268 | PRO-002802 | PRO-003633 | PRO-004061,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.582405,-0.557506,Springfield Farm,TEC project matched to DESNZ REPD,Medium,96.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 640: Springfield Farm; Springfield Farm, Gerrard Cross, Off Junction 12 of the M40; planning ref SBD/8204/06",TEC project matched to DESNZ REPD; score 96.0/100; next-candidate margin 96.0. Coordinates represent the matched mapped feature.
Leeds North Connection Node D 400kV Substation,BlackDyke BESS | Tewitt Farm BESS,ANESCO LIMITED | Apatura Battery Ltd,Energy Storage System,PRO-004671 | PRO-003917,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.950874,-2.970795,Blackdyke Farm,TEC project matched to DESNZ REPD,Medium,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 5715: Blackdyke Farm; Blackdyke Farm and Riding Cent, Blackford, Carlisle; planning ref 15/0688",TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Leeds North Connection Node E,Elland BESS,Pulse Clean Energy Limited,Energy Storage System,PRO-003465,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.685620,-1.838280,Elland,TEC project-derived locality proxy,Low,100.0,https://www.openstreetmap.org/node/29814614,OpenStreetMap named town: Elland,"TEC project-derived locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Leeds North Connection Node E 132KV Substation,Shaw Lane BESS,SHAW LANE BESS LIMITED,Energy Storage System,PRO-004439,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.873686,-1.693957,Shaw Lane,TEC project-derived locality proxy,Low,100.0,https://www.openstreetmap.org/node/11462576112,OpenStreetMap named suburb: Shaw Lane,"TEC project-derived locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Leeds North Connection Node G,Scotton,HARMONY ENERGY LIMITED,Energy Storage System,PRO-005920,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.358092,-1.710256,Scotton,TEC project-derived locality proxy,Low,100.0,https://www.openstreetmap.org/node/5270873863,OpenStreetMap named hamlet: Scotton,"TEC project-derived locality proxy; score 100.0/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Leeds South Connection Node B 132kV Substation,Thurcroft Storage,BSR APPLICATIONS LIMITED,Energy Storage System,PRO-005889,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,71.4,,,Best candidate 'South Lees Farm' scored 71.4; below reliability threshold.
Leeds South Connection Node C 400kV Substation,Noventum - Stocksbridge,NOVENTUM POWER SOLAR 14 LIMITED,Energy Storage System,PRO-004661,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,71.4,,,Best candidate 'South Lees Farm' scored 71.4; below reliability threshold.
Legacy 400kV Substation,Legacy 400 | Legacy Green Energy Centre | Legacy Tertiary Connection | Plas Power Estate North Tertiary,ENSO GREEN HOLDINGS LIMITED | LEGACY GREEN ENERGY LIMITED | HD639LEG LIMITED | LIGHTSOURCE SPV 192 LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore | Energy Storage System | Energy Storage System;PV Array (Photo Voltaic/solar),PRO-002193 | PRO-001662-1 | PRO-001662-2 | PRO-001171 | PRO-001050,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.028519,-3.053770,LEGACY 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LEGACY 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Leslie 200MW BESS 275kV Substation,Leslie 200MW BESS,Apatura Battery Ltd,Energy Storage System,PRO-003609,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.311196,-2.668865,Leslie,Town/locality proxy,Low,66.7,https://www.openstreetmap.org/node/8872868418,OpenStreetMap named village: Leslie,"Town/locality proxy; score 66.7/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Lessnessock,Lessnessock Energy Park,RENEWCO POWER LIMITED,Energy Storage System,PRO-005033,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,66.7,,,Best candidate 'Lednock Power Station' scored 66.7; below reliability threshold.
Letchmore Heath 132kV Substation,Elstree Energy Storage,ELSTREE BATTERY STORAGE LIMITED,Energy Storage System,PRO-003205,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.667410,-0.336119,Letchmore Heath,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/2343904433,OpenStreetMap named village: Letchmore Heath,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Letham 400/275kV substation,Grangemouth  Hybrid BESS & Solar PV,TAGENERGY DEVELOPMENT UK LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-003254,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.054196,-3.774497,Letham,Town/locality proxy,Low,100.0,https://www.openstreetmap.org/relation/19668036,OpenStreetMap named village: Letham,"Town/locality proxy; score 100.0/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Lethans Collector 132kV Substation,Lethans Wind Farm Extension,LETHANS EAST WIND FARM LIMITED,Wind Onshore,PRO-003553,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.420590,-4.081809,Lethans Wind Farm ,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 6827: Lethans Wind Farm ; Land to the north east of New Cumnock, Lethans, ; planning ref ECU00001856",TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Lethans Collector Substation,Lethans Wind Farm,Lethans Wind Farm Limited,Wind Onshore,PRO-001367,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.420590,-4.081809,Lethans Wind Farm ,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 6827: Lethans Wind Farm ; Land to the north east of New Cumnock, Lethans, ; planning ref ECU00001856",TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Lethen Wind Farm 132/33kV Substation,Lethen Wind Farm,FRED OLSEN RENEWABLES LIMITED,Wind Onshore,PRO-002307,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.534443,-3.800376,LETHEN,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LETHEN; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Leuchland Farm IDNO,Leuchland Energy Centre A | Leuchland Energy Centre B,LEUCHLAND ENERGY CENTRE LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-005765 | PRO-005767,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,69.0,,,Best candidate 'Sandy Lane IDNo' scored 69.0; below reliability threshold.
LGB300 400KV Substation,LGB300,LG-B-300,Energy Storage System,PRO-003907,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,37.5,,,Best candidate 'LONGBRIDGE 132/11KV' scored 37.5; below reliability threshold.
Limekilns 132/33kV substation,Limekiln,Limekiln Extension Limited,Energy Storage System;Wind Onshore,PRO-000515-1 | PRO-000515-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.034392,-3.480491,Limekilns,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/29338432,OpenStreetMap named village: Limekilns,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Lincolnshire Coastal Node 400kV Substation,Mablethorpe Storage,THEDDLETHORPE FLEXIBLE GENERATION LIMITED,CCGT (Combined Cycle Gas Turbine);Energy Storage System,PRO-001979,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,68.2,,,Best candidate 'Lincolnshire Police' scored 68.2; below reliability threshold.
Lincolnshire Coastal Node B 400kV Substation,East Lincolnshire Solar,Statkraft UK Ltd,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-004737,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,65.2,,,Best candidate 'Lincolnshire Police' scored 65.2; below reliability threshold.
Lincs 33/132kV Offshore Substation,Lincs Offshore Wind Farm,LINCS WIND FARM LIMITED,Wind Offshore,PRO-000215,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.188548,0.490310,Lincs Wind Farm Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/1392853091,OpenStreetMap named substation feature: Lincs Wind Farm Substation,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Linnmill 132/33kV,Andershaw Wind Farm | Auchrobert Wind Farm | Redshaw Energy Park,ANDERSHAW WIND POWER LIMITED | AUCHROBERT WIND ENERGY LIMITED | Redshaw Energy Park Developments LLP,Wind Onshore | Energy Storage System,PRO-000010 | PRO-000016 | PRO-003982,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.671990,-3.825996,LINNMILL,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LINNMILL; SP ENERGY NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Linnmill GSP,Brae WF,WIND 2 LIMITED,Energy Storage System;Wind Onshore,PRO-004633,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.671990,-3.825996,LINNMILL,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LINNMILL; SP ENERGY NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Linwood 400kV Substation,Lightsource Auchans,Lightsource Renewable UK Development Limited,Energy Storage System,PRO-003985,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.363620,-0.333527,Linwood,Town/locality proxy,Low,100.0,https://www.openstreetmap.org/node/243406335,OpenStreetMap named hamlet: Linwood,"Town/locality proxy; score 100.0/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Lister Drive 132kV Substation,Lister Drive,ORSTED ESS MERSEY LIMITED,Energy Storage System,PRO-001257,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.419989,-2.932002,LISTER DRIVE,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LISTER DRIVE; SP ENERGY NETWORKS; BSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Lister Drive 275kV Substation,Lister Battery (formerly Lister Drive) | Lister Drive 275kV | Lister Drive Shaw,LISTER BATTERY LTD | LISTER DRIVE SOLUTIONS LIMITED | Carnegie (BES) Ltd,Energy Storage System | Reactive Compensation,PRO-001088 | PRO-001248 | PRO-001342,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.418548,-2.924267,LISTER DRIVE 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LISTER DRIVE 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Little Horsted GSP,Little Horsted,CSE34 LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-002214,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.941163,0.120572,Little Horsted Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/555563722,OpenStreetMap named substation feature: Little Horsted Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Littlebrook 132kV Substation,Littlebrook BESS | Low Carbon Energy Centre BESS Joyce Green Lane,ECODEV (SOUTH) LTD | NET ZERO MARINE SERVICES LIMITED,Energy Storage System,PRO-001832 | PRO-003540,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.464671,0.239208,LITTLEBROOK 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LITTLEBROOK 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Littlebrook 400kV Substation,ER LBR Energy,ER PROJECT DEVELOPMENT CO LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-003723,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.464671,0.239208,LITTLEBROOK 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; LITTLEBROOK 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Livingston East 132/33kV,Harburnhead Wind Farm,LDV HARBURNHEAD LIMITED,Wind Onshore,PRO-000230,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.882468,-3.492679,Livingston East Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/124059099,OpenStreetMap named substation feature: Livingston East Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Llandyfaelog 132kV Substation,Brechfa Dau Wind Farm | GALILEO 06,TRYDAN GWYRDD CYMRU (Welsh Government) Ltd | Galileo Empower UK Limited,Energy Storage System;Wind Onshore | Wind Onshore,PRO-003847 | PRO-003810,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.781447,-4.298605,Llandyfaelog,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/3451866541,OpenStreetMap named village: Llandyfaelog,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Llandyfaelog 400/132kV Substation,UK105-B Upland Arms,URUK BESS LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-004649,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.781447,-4.298605,Llandyfaelog,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/3451866541,OpenStreetMap named village: Llandyfaelog,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Llanteg 400kV Substation,ER TWD Energy,ER PROJECT DEVELOPMENT CO LIMITED,Energy Storage System;Wind Onshore,PRO-003719,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.761629,-4.636166,Llanteg,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/29121195,OpenStreetMap named hamlet: Llanteg,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
LLYWELYN EXTENSION OFFSHORE WIND FARM 66/275KV OFFSHORE SUBSTATION,Llywelyn Extension Offshore Wind Farm,Renantis UK Limited,Wind Offshore,PRO-002406,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.278054,-1.526048,Lewelyn,Candidate infrastructure match,Low,80.0,https://www.openstreetmap.org/node/10021829086,OpenStreetMap named substation feature: Lewelyn,Candidate infrastructure match; score 80.0/100; next-candidate margin 2.2. Coordinates represent the matched mapped feature.
Loch Fearna Pumped Storage 400/18kV Substation,Loch Fearna Pumped Storage,FEARNA PSH LIMITED,Pump Storage,PRO-002569,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,56.0,,,Best candidate 'Farnham Battery Storage' scored 56.0; below reliability threshold.
LOCH GELLY COLLECTOR 132KV SUBSTATION,Gresham House Mossmoran BESS,MOSSMORRAN ENERGY STORAGE LIMITED,Energy Storage System,PRO-002395,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,65.0,,,Best candidate 'Cumberhead Collector Substation' scored 65.0; below reliability threshold.
Loch Kemp 275kV Switching Station,Loch Kemp PSH,LOCH KEMP STORAGE LIMITED,Pump Storage,PRO-002285,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.030314,-1.369395,Loscoe Switching Station,Fuzzy infrastructure match,Medium,86.3,https://www.openstreetmap.org/way/705505222,OpenStreetMap named substation feature: Loscoe Switching Station,Fuzzy infrastructure match; score 86.3/100; next-candidate margin 3.3. Coordinates represent the matched mapped feature.
Loch Liath 132/33kV Substation,Loch Liath Wind Farm,LOCH LIATH WIND FARM LIMITED,Wind Onshore,PRO-001671,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.328276,-4.484525,Loch Liath Wind Farm,TEC project matched to DESNZ REPD,Medium,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 8482: Loch Liath Wind Farm; 9000M SW Of Glenurquhart High School Balmacaan Road Drumnadrochit; planning ref ECU00002182,TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Loch Luichart Extension II Substation,Loch Luichart Extension II,BLUEBELL WIND FARM LIMITED,Wind Onshore,PRO-000487,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,66.7,,,Best candidate 'Luichart Substation' scored 66.7; below reliability threshold.
Loch Nan Eun 275/18kV,Fort Augustus Storage,GLENDOE STORAGE LIMITED,Energy Storage System,PRO-002063,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,50.0,,,Best candidate 'LOCH CARNAN' scored 50.0; below reliability threshold.
Lochay GSP,Lochay (Part of Killin Cascade Hydro Scheme),SSE Generation Limited,Hydro,PRO-000174-1 | PRO-000174-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.484628,-4.364111,Lochay Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/130870157,OpenStreetMap named substation feature: Lochay Substation,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
London Array 33/150kV Offshore Substations,London Array Offshore Wind Farm,LONDON ARRAY LIMITED,Wind Offshore,PRO-000201,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.471572,1.040769,London Array Phase 2,TEC project matched to DESNZ REPD,Low,96.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 2507: London Array Phase 2; 12 miles (20km) off the Kent and Essex coasts; planning ref ,TEC project matched to DESNZ REPD; score 96.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
London North East Connection Node A,Rye House,RYE HOUSE 10 RENEWABLES LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-003413,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.417755,-0.229099,Red House Farm - Solar Farm,TEC project matched to DESNZ REPD,Low,88.9,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 9518: Red House Farm - Solar Farm; Nw/O Red House Farm On Double, Bank Lane, Sawtry, Huntingdon; planning ref 21/01809/FUL",TEC project matched to DESNZ REPD; score 88.9/100; next-candidate margin 88.9. Coordinates represent the matched mapped feature.
London North East Connection Node A 132kv Substation,Patmores (Mott Street),INNOVA RENEWABLES LIMITED,Energy Storage System,PRO-004452,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,61.5,,,Best candidate 'London Road TPH' scored 61.5; below reliability threshold.
London North East Connection Node A 400kV,Waltham Cross BESS | Waltham Cross Farm 2,SHAW-ENERGI LTD | Waltham Cross 7 Renewables Limited,Energy Storage System | Demand;Energy Storage System;PV Array (Photo Voltaic/solar),PRO-003665 | PRO-002748,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.685783,-0.033000,Waltham Cross,TEC project-derived locality proxy,Low,100.0,https://www.openstreetmap.org/node/6247313095,OpenStreetMap named town: Waltham Cross,"TEC project-derived locality proxy; score 100.0/100; next-candidate margin 4.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
