Connection Site,TEC Project Names,TEC Customer Names,TEC Plant Types,TEC Project Numbers,TEC Register Source,Latitude,Longitude,Matched Feature,Match Type,Confidence,Match Score,Source URL,Source Description,Confidence Notes
Roosecote 132kV Substation,Roosecote,CBS ENERGY STORAGE ASSETS UK LIMITED,Energy Storage System,PRO-000919,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.104196,-3.189092,Roosecote Battery,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/659490293,OpenStreetMap named plant feature: Roosecote Battery,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rothienorman 2 400/33kV GSP,Overhill BESS,PULSE CLEAN ENERGY SPV WATT LIMITED,Energy Storage System,PRO-001974,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.409963,-2.516267,Rothienorman Substation,Strong name match,High,96.0,https://www.openstreetmap.org/way/820237569,OpenStreetMap named substation feature: Rothienorman Substation,Strong name match; score 96.0/100; next-candidate margin 41.8. Coordinates represent the matched mapped feature.
Rothienorman 400/33kV Substation,Rothienorman 50MW BESS,ROTHIENORMAN FLEXPOWER LTD,Energy Storage System,PRO-002300,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.409963,-2.516267,Rothienorman Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/820237569,OpenStreetMap named substation feature: Rothienorman Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Rothienorman 400kV Substation,Rothienorman Battery | Rothienorman Sync Comp,BLACKFORD RENEWABLES LTD | ROTHIENORMAN GRID SERVICES LIMITED,Energy Storage System | Reactive Compensation,PRO-001971 | PRO-001445,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.409963,-2.516267,Rothienorman Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/820237569,OpenStreetMap named substation feature: Rothienorman Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Rothienorman GSP,Gordonstown Hill Wind Farm | Stoneyfield,GORDONSTOWN HILL WIND FARM LIMITED | WIND 2 LIMITED,Wind Onshore,PRO-000936 | PRO-004531,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.409963,-2.516267,Rothienorman Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/820237569,OpenStreetMap named substation feature: Rothienorman Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Rowan 275/33kV Substation,Rowan Wind Energyfarm,ENERGYFARM ROWAN LLP,Energy Storage System;Wind Onshore,PRO-003823,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.233521,-6.810188,Rowan,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/relation/5191992,OpenStreetMap named locality: Rowan,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
ROWANCRAIG WIND FARM 33KV SUBSTATION,Rowancraig Wind Farm,Koehler Renewable Energy UK Limited,Wind Onshore,PRO-002455,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,63.6,,,Best candidate 'Rowland Road' scored 63.6; below reliability threshold.
Rowdown 400kV Substation,Littlebrook GEC (Ethos Green) | Mickleham Energy Storage,LITTLEBROOK GREEN ENERGY CENTRE LTD | BW ESS DEVELOPMENT UK LIMITED,Demand;Energy Storage System;PV Array (Photo Voltaic/solar);Reactive Compensation | Energy Storage System,PRO-003938 | PRO-003573,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.351925,-0.003538,ROWDOWN 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ROWDOWN 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rugeley 400kV Substation,Rugeley | Rugeley Battery Storage,IGP SOLAR 17 LIMITED | RUGELEY POWER GENERATION LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System,PRO-001630 | PRO-002215,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.756674,-1.914966,RUGELEY 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RUGELEY 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rugeley GSP,Rugeley,RUGELEY POWER GENERATION LIMITED,Coal,PRO-000209,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.756674,-1.914966,RUGELEY 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RUGELEY 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
RWE CELTIC OFFSHORE SUBSTATION,Celtic Offshore Wind Farm,RWE Renewables UK Limited,Wind Offshore,PRO-001760,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.601466,-3.638047,Celtic Rd Substation,Candidate infrastructure match,Low,84.2,https://www.openstreetmap.org/node/13306150738,OpenStreetMap named substation feature: Celtic Rd Substation,Candidate infrastructure match; score 84.2/100; next-candidate margin 11.5. Coordinates represent the matched mapped feature.
Rye House GSP,Rye House,VPI Power Limited,CCGT (Combined Cycle Gas Turbine),PRO-000191,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.759021,0.008559,RYE HOUSE 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RYE HOUSE 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Ryhall 400kV Substation,Essendine | Graeme Road Solar & BESS,MALLARD PASS SOLAR FARM LIMITED | GREENTECH PROJECTS HOLDING UK LIMITED,PV Array (Photo Voltaic/solar) | Energy Storage System;PV Array (Photo Voltaic/solar),PRO-001643 | PRO-004375,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.688300,-0.452478,RYHALL 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RYHALL 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Saltcoats 132/33kV,Meiklelaught Farm BESS | Saltcoats NEP BESS Facility,GPC 1127 Ltd | Rashley New Energy Limited,Energy Storage System,PRO-003631 | PRO-002813,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.647011,-4.796139,Saltcoats,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/91087476,OpenStreetMap named substation feature: Saltcoats,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Saltend North GSP,NEL Suggit,SFEL One Limited,Energy Storage System,PRO-004412,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.741958,-0.238498,SALTEND NORTH 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; SALTEND NORTH 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Saltend South 400kV Substation,Saltend,SALTEND COGENERATION COMPANY LIMITED,CCGT (Combined Cycle Gas Turbine),PRO-000059,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.737031,-0.242753,SALTEND SOUTH 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; SALTEND SOUTH 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Saltholme 275kV Substation,Saltholme BESS,Harmony SH Limited,Energy Storage System,PRO-003057,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.605484,-1.237768,SALTHOLME 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; SALTHOLME 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
