connection_site,assigned_charging_zone,basis,reason
Elchies 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Leeds North Connection Node E,GZ15,project proxy; charging-zone centroid,Same-project zone proxy (Elland BESS)
Braybrooke 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
North Anglia Connection Node A 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Elmya Grange 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Elmya Morningside 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Energy Isles 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Enoch Hill 2 Wind Farm 33kV Substation,GZ10,project,Spatial point-in-polygon
West Country Connection Node E 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Er Bbr Energy 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Tween Bridge 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Er Msm Energy 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Llanteg 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Euchanhead 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Ewehill 132/33kV,GZ12,project,Spatial point-in-polygon
Fairburn Extension 132/33kV Substation,GZ1,project,Spatial point-in-polygon
Fearna Pump Storage Hydro 2 400/15kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Leeds North Connection Node C 132kV Substation,GZ15,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Ferrybridge B GSP)
Fife Energy Centre 132kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Fife Grid Services Facility 275kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Five Estuaries 220/66 kV Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
North Wales connection Node A 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
FORSA ENERGY DENNY BESS 132KV GRID SUPPLY POINT SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Loch Nan Eun 275/18kV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Pont Abraham 132KV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Oswestry Substation,GZ9,connection site,NESO node-zone map via 2025 TEC project proxy (Bathgate 132/33kV Substation)
Armadale 132kV Substation,GZ9,connection site,NESO node-zone map via 2025 TEC project proxy (Bathgate 132/33kV Substation)
Galileo 16 132kV Substation,GZ9,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Bathgate 132/33kV Substation)
Galloper North 132/33kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Garlogie Production B 275/33kV GSP,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Garlogie Production C 275/33kV GSP,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Garlogie Production A 275/33kV GSP,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
MID WALES CONNECTION NODE A 400KV SUBSTATION,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Garvary 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Harburn 132/33kV Grid Supply Point Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Craig Murrail GSP,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Glen App 33kV,GZ10,project,Spatial point-in-polygon
Glen Earrach PSH 400kV substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Glen Lednock 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Glen Ullinish Extension 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Glen Ullinish 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Glendye Wind Farm Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Glenmuckloch 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Glenmuckloch 132/33kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Glenmuir Windfarm 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Conland Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
GLENTAGGART 150MW BESS 132kV SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Glentaggart WF 33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Glenvernoch 132kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Letham 400/275kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
REDSHAW 132kV B BOARD SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Gabbard 33/132kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Sealand 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Greenburn Mixed Technology 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Greenock Road 275kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
LOCH GELLY COLLECTOR 132KV SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
GALA NORTH 132KV SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Grimshader Wind Farm Substation132 KV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Weston Marsh 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Gunfleet Sands 33/132kV Offshore,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Gwynt y Mor 132/33kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Spirebush 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Hagshaw Hill Wind Farm 33kV Substation,GZ11,project,Spatial point-in-polygon
Hagshaw Repowering Phase 3 132kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Halbeath 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
New East Coast 400kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
