wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,direction_observations,bin_lower_mw,bin_upper_mw,bin_mid_mw,bin_count,bin_probability_pct,pdf_density_per_mw
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5000.0,5100.0,5050.0,176,1.3610702961874566,0.00013610702961874564
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5100.0,5200.0,5150.0,211,1.6317376846338258,0.00016317376846338257
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5200.0,5300.0,5250.0,182,1.4074704199211199,0.00014074704199211198
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5300.0,5400.0,5350.0,241,1.8637383033021422,0.00018637383033021424
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5400.0,5500.0,5450.0,213,1.6472043925450468,0.00016472043925450469
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5500.0,5600.0,5550.0,188,1.4538705436547832,0.00014538705436547831
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5600.0,5700.0,5650.0,225,1.7400046400123734,0.00017400046400123736
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5700.0,5800.0,5750.0,195,1.5080040213440569,0.0001508004021344057
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5800.0,5900.0,5850.0,139,1.074936199829866,0.00010749361998298662
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,5900.0,6000.0,5950.0,171,1.3224035264094036,0.00013224035264094037
