wind_metric,wind_metric_label,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,wind_bucket_observations,mean_wind_mw,min_wind_mw,max_wind_mw,direction_observations,direction_duration_hours,direction_share_pct,mean_level_mw,P0,P10,P20,P30,P40,P50,P60,P70,P75,P80,P85,P90,P95,P100
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),20_40pct,import,import_mw_conditional_on_importing,15705,3893.593370518943,2830.6159999999995,5018.745599999998,10372,5186.0,66.04266157274753,801.8573081372928,2.0,302.0,580.0,752.0,898.0,986.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,994.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,3893.593370518943,2830.6159999999995,5018.745599999998,5321,2660.5,33.880929640241966,438.4668295433189,2.0,2.0,2.0,4.0,20.0,256.0,604.0,902.0,996.0,1028.0,1028.0,1028.0,1030.0,1030.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),40_60pct,import,import_mw_conditional_on_importing,15712,6261.010603245926,5018.818,7611.486599999997,9297,4648.5,59.17133401221996,768.4666021297193,2.0,265.20000000000005,490.0,684.0,828.8000000000002,946.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,1398.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,6261.010603245926,5018.818,7611.486599999997,6403,3201.5,40.752291242362524,415.6642198969233,2.0,2.0,2.0,4.0,4.0,202.0,528.0,844.0,963.0,1024.0,1028.0,1028.0,1030.0,1030.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),60_80pct,import,import_mw_conditional_on_importing,15705,9147.22514184018,7611.787199999998,10784.568000000003,8415,4207.5,53.581661891117484,745.1130124777184,2.0,224.0,436.0,632.0,794.0,904.0,984.0,992.0,992.0,992.0,992.0,992.0,992.0,1178.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,9147.22514184018,7611.787199999998,10784.568000000003,7278,3639.0,46.341929321872016,417.71090959054686,2.0,2.0,2.0,4.0,60.0,272.0,518.0,768.0,915.5,1016.0,1028.0,1028.0,1028.0,1626.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),highest_20pct,import,import_mw_conditional_on_importing,15710,12713.216694793125,10784.598000000004,17142.889999999996,7515,3757.5,47.83577339274348,706.2914171656687,2.0,166.80000000000018,344.0,526.0,712.0,858.0,968.0,992.0,992.0,992.0,992.0,992.0,992.0,994.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15710,12713.216694793125,10784.598000000004,17142.889999999996,8178,4089.0,52.056015276893696,402.9095133284422,2.0,2.0,4.0,4.0,4.0,209.0,478.0,774.0,922.0,1014.0,1028.0,1028.0,1030.0,1030.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),lowest_20pct,import,import_mw_conditional_on_importing,15712,1651.2823973523423,-115.2388,2830.466,3348,1674.0,21.308553971486763,183.40023894862605,2.0,16.0,48.0,88.0,128.0,172.0,212.0,246.0,270.0,312.0,359.89999999999964,400.0,402.0,404.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,1651.2823973523423,-115.2388,2830.466,11377,5688.5,72.4096232179226,338.04271776390965,2.0,100.0,212.0,264.0,340.0,404.0,450.0,452.0,452.0,452.0,452.0,452.0,454.0,458.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),20_40pct,import,import_mw_conditional_on_importing,15705,3893.593370518943,2830.6159999999995,5018.745599999998,3248,1624.0,20.681311684177015,214.50615763546799,2.0,26.0,64.0,102.0,170.0,224.0,246.0,310.0,350.0,380.0,400.0,400.0,402.0,500.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,3893.593370518943,2830.6159999999995,5018.745599999998,11405,5702.5,72.6201846545686,345.2043840420868,2.0,112.0,223.60000000000036,300.0,360.0,420.0,450.0,452.0,452.0,452.0,452.0,452.0,454.0,506.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),40_60pct,import,import_mw_conditional_on_importing,15712,6261.010603245926,5018.818,7611.486599999997,4132,2066.0,26.29837067209776,234.0454985479187,2.0,44.0,90.0,150.5999999999999,208.0,246.0,274.0,328.0,360.0,388.0,400.0,400.0,400.0,498.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,6261.010603245926,5018.818,7611.486599999997,10689,5344.5,68.03080448065172,341.07418841799984,2.0,96.0,222.0,300.0,352.0,406.0,450.0,452.0,452.0,452.0,452.0,452.0,452.0,458.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),60_80pct,import,import_mw_conditional_on_importing,15705,9147.22514184018,7611.787199999998,10784.568000000003,4377,2188.5,27.87010506208214,230.00091386794608,2.0,44.0,88.0,154.0,210.0,248.0,272.0,304.0,334.0,364.0,394.0,400.0,400.0,682.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,9147.22514184018,7611.787199999998,10784.568000000003,10730,5365.0,68.32219038522763,339.5420316868593,2.0,96.0,216.0,298.0,350.0,402.0,450.0,452.0,452.0,452.0,452.0,452.0,452.0,592.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),highest_20pct,import,import_mw_conditional_on_importing,15710,12713.216694793125,10784.598000000004,17142.889999999996,5267,2633.5,33.52641629535328,235.13157395101575,2.0,43.200000000000045,86.0,154.0,210.0,258.0,272.0,326.0,364.0,388.0,400.0,400.0,400.0,404.0
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15710,12713.216694793125,10784.598000000004,17142.889999999996,9890,4945.0,62.95353278166773,318.05763397371084,2.0,74.0,170.0,252.0,306.0,358.0,420.0,450.0,450.0,452.0,452.0,452.0,452.0,456.0
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),lowest_20pct,import,import_mw_conditional_on_importing,15712,1651.2823973523423,-115.2388,2830.466,10516,5258.0,66.92973523421588,770.7441993153291,2.0,258.0,460.0,658.0,806.0,906.0,1000.0,1004.0,1008.0,1028.0,1032.0,1046.0,1052.0,1196.0
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,1651.2823973523423,-115.2388,2830.466,3770,1885.0,23.99439918533605,639.9389920424403,2.0,168.0,280.0,410.0,549.2000000000003,676.0,792.0,906.0,968.0,1012.0,1014.0,1042.0,1052.0,1076.0
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),20_40pct,import,import_mw_conditional_on_importing,15705,3893.593370518943,2830.6159999999995,5018.745599999998,9680,4840.0,61.63642152180834,749.3938016528925,2.0,238.0,424.0,600.0,748.0,876.0,976.0,1002.0,1004.0,1022.0,1034.0,1048.0,1052.0,1078.0
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,3893.593370518943,2830.6159999999995,5018.745599999998,4507,2253.5,28.697866921362625,648.6620812070113,2.0,184.0,298.4000000000001,424.0,560.0,680.0,802.0,920.3999999999996,975.0,1014.0,1014.0,1032.0,1052.0,1090.0
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),40_60pct,import,import_mw_conditional_on_importing,15712,6261.010603245926,5018.818,7611.486599999997,9191,4595.5,58.496690427698574,734.7733652486128,2.0,224.0,404.0,568.0,712.0,848.0,954.0,1002.0,1004.0,1020.0,1036.0,1048.0,1052.0,1078.0
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,6261.010603245926,5018.818,7611.486599999997,4962,2481.0,31.580957230142566,664.4212011285772,2.0,186.0,308.0,442.5999999999999,570.0,712.0,826.0,956.0,1006.0,1014.0,1016.0,1038.0,1056.0,1090.0
