interconnectorId,interconnectorName,wind_metric,wind_metric_label,flow_metric,flow_metric_label,wind_lag_hours,lag_interpretation,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,-0.14186968060614957,-0.16460349392801663,7431.742309652809,1735.37642,14314.2344,281.93144719753496,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,0,same half-hour,78544,-0.15092724536029356,-0.17370850483621156,7431.349280167962,1735.4318,14314.205199999842,281.875050926869,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,78538,-0.1429284282313677,-0.1651854520147692,7430.441289919687,1735.37642,14312.192790774636,281.83551911176755,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,78532,-0.12232560194909557,-0.14384320228390468,7429.591266456091,1735.3412600000004,14309.454251111049,281.79470788977744,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,78520,-0.07344279944966203,-0.09422410544966876,7428.460638051405,1735.2858800000004,14308.723580000054,281.6898879266429,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,78496,-0.02470258266925522,-0.045995042362316656,7427.618638111026,1735.164,14308.935566666665,281.4872095393396,-966.0,992.0
INTIRL,Northern Ireland(Moyle),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,0.16154855013300548,0.16939993904623935,6736.157023379535,1728.8649,12507.000199999999,-174.19030269058297,-452.0,272.0
INTIRL,Northern Ireland(Moyle),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,0.27218877178738327,0.2694647149618209,6734.535870621497,1727.9028000000003,12506.48420000001,-174.2732806928171,-452.0,272.0
INTIRL,Northern Ireland(Moyle),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,0.22953193284897905,0.22586991342955948,6733.828084312127,1728.2382199999997,12506.127160000007,-174.31571843325014,-452.0,272.0
INTIRL,Northern Ireland(Moyle),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,0.17098622126792476,0.17392512106453156,6733.491001695995,1728.27554,12505.747720000001,-174.33693244034734,-452.0,272.0
