interconnectorId,interconnectorName,season,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTGRNL,Ireland (Greenlink),Summer,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,92,0.3180560439794881,0.27585569136654936,5645.051164130435,2459.787082916667,10151.623609166669,-376.9130434782609,-510.525,-130.55833333333308
INTGRNL,Ireland (Greenlink),Summer,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,92,0.34518153405792107,0.35188188288082284,5645.051164130435,2459.787082916667,10151.623609166669,20.839673913043477,0.0,71.87083333333335
INTGRNL,Ireland (Greenlink),Summer,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,92,-0.2770048225163448,-0.2551564962885923,5645.051164130435,2459.787082916667,10151.623609166669,397.7527173913044,225.72916666666669,510.52500000000003
INTGRNL,Ireland (Greenlink),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,92,0.3424093875084198,0.2971945116088663,6694.317368363015,2617.705103888882,13296.700906622282,-376.9130434782609,-510.525,-130.55833333333308
INTGRNL,Ireland (Greenlink),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,92,0.37662766196353265,0.35174836163817247,6694.317368363015,2617.705103888882,13296.700906622282,20.839673913043477,0.0,71.87083333333335
INTGRNL,Ireland (Greenlink),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,92,-0.2961181079428352,-0.2750619396565607,6694.317368363015,2617.705103888882,13296.700906622282,397.7527173913044,225.72916666666669,510.52500000000003
INTGRNL,Ireland (Greenlink),Winter,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,61,0.18310836007299977,0.23849814912744577,9527.610122814207,5490.272670833333,13164.280145833334,-277.6864754098361,-506.9583333333333,93.33333333333333
INTGRNL,Ireland (Greenlink),Winter,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,61,0.131342382739818,0.29306749507627766,9527.610122814207,5490.272670833333,13164.280145833334,58.08128415300546,0.0,166.58333333333334
INTGRNL,Ireland (Greenlink),Winter,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,61,-0.19784167182903464,-0.23548387096774193,9527.610122814207,5490.272670833333,13164.280145833334,335.7677595628415,56.333333333333336,506.9583333333333
INTGRNL,Ireland (Greenlink),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,61,0.30263174203032,0.32321523003701735,10986.162927221276,5489.469129166667,16887.28211944446,-277.6864754098361,-506.9583333333333,93.33333333333333
INTGRNL,Ireland (Greenlink),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,61,0.25269162657915084,0.3916335490925735,10986.162927221276,5489.469129166667,16887.28211944446,58.08128415300546,0.0,166.58333333333334
INTGRNL,Ireland (Greenlink),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,61,-0.305628428307477,-0.31708090957165513,10986.162927221276,5489.469129166667,16887.28211944446,335.7677595628415,56.333333333333336,506.9583333333333
INTIFA2,IFA2 (INTIFA2),Autumn,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,455,-0.194681505070503,-0.2102609262311227,7311.240373339913,2359.0603616666667,12158.771563333334,155.46920449270127,-884.6833333333333,946.825
INTIFA2,IFA2 (INTIFA2),Autumn,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,455,-0.18071837130196783,-0.16710157279428722,7311.240373339913,2359.0603616666667,12158.771563333334,362.975755835284,0.0,946.825
INTIFA2,IFA2 (INTIFA2),Autumn,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,455,0.15371322189364753,0.2586423255346418,7311.240373339913,2359.0603616666667,12158.771563333334,207.5065513425828,0.0,884.6833333333334
INTIFA2,IFA2 (INTIFA2),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,455,-0.16775540097321148,-0.19535342768707234,8190.748890077996,2417.2430600000002,14117.641137509438,155.46920449270127,-884.6833333333333,946.825
INTIFA2,IFA2 (INTIFA2),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,455,-0.17313578366679586,-0.1640449978781134,8190.748890077996,2417.2430600000002,14117.641137509438,362.975755835284,0.0,946.825
INTIFA2,IFA2 (INTIFA2),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,455,0.11297535815632752,0.23319358097999754,8190.748890077996,2417.2430600000002,14117.641137509438,207.5065513425828,0.0,884.6833333333334
INTIFA2,IFA2 (INTIFA2),Spring,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,368,-0.05163794569113683,-0.13279118975191165,5976.249259824265,1823.2395295833335,10804.336834166666,443.0250887362748,-666.2999999999998,991.1666666666666
INTIFA2,IFA2 (INTIFA2),Spring,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,368,-0.04505083532338643,-0.11750710565640224,5976.249259824265,1823.2395295833335,10804.336834166666,602.0945893915323,0.0,991.1666666666666
INTIFA2,IFA2 (INTIFA2),Spring,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,368,0.052767833447968336,0.09201093298038729,5976.249259824265,1823.2395295833335,10804.336834166666,159.06950065525749,0.0,676.8125000000003
