interconnectorId,interconnectorName,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTIFA2,IFA2 (INTIFA2),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,-0.17667761544137314,-0.18601422922676092,6730.680855495117,2105.5563125000003,11988.731495833334,454.56296677223264,0.0,975.0416666666666
INTIFA2,IFA2 (INTIFA2),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,0.05022375469695928,0.20355263911072735,6730.680855495117,2105.5563125000003,11988.731495833334,173.31569663147795,0.0,765.541666666667
INTIFA2,IFA2 (INTIFA2),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,-0.129383032778621,-0.1787594092770453,7428.945709037391,2148.347972638889,13562.23134998643,281.2472701407547,-758.5166666666665,975.0416666666666
INTIFA2,IFA2 (INTIFA2),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,-0.17679832618885996,-0.18475291785513923,7428.945709037391,2148.347972638889,13562.23134998643,454.56296677223264,0.0,975.0416666666666
INTIFA2,IFA2 (INTIFA2),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,0.035542315949932665,0.19858804439980848,7428.945709037391,2148.347972638889,13562.23134998643,173.31569663147795,0.0,765.541666666667
INTIRL,Northern Ireland(Moyle),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,0.18026830283021983,0.1886206906834123,6730.680855495117,2105.5563125000003,11988.731495833334,-174.21852283989682,-422.9625,139.9416666666667
INTIRL,Northern Ireland(Moyle),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,0.21687033608436265,0.2537208868538508,6730.680855495117,2105.5563125000003,11988.731495833334,57.45440224544342,0.0,184.71666666666673
INTIRL,Northern Ireland(Moyle),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,-0.13952999314248227,-0.1434226591768007,6730.680855495117,2105.5563125000003,11988.731495833334,231.67292508534027,13.320833333333338,422.9625
INTIRL,Northern Ireland(Moyle),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,0.1698777054418908,0.18368200593761996,7428.945709037391,2148.347972638889,13562.23134998643,-174.21852283989682,-422.9625,139.9416666666667
INTIRL,Northern Ireland(Moyle),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,0.19893026870063305,0.24247652352993793,7428.945709037391,2148.347972638889,13562.23134998643,57.45440224544342,0.0,184.71666666666673
INTIRL,Northern Ireland(Moyle),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,-0.1345668847864078,-0.1406020225920368,7428.945709037391,2148.347972638889,13562.23134998643,231.67292508534027,13.320833333333338,422.9625
INTNED,Netherlands(BritNed),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,-0.1005848732873154,-0.0876146169720877,6730.680855495117,2105.5563125000003,11988.731495833334,239.95481251024077,-400.3625,876.1583333333334
INTNED,Netherlands(BritNed),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,-0.10215661598502354,-0.09611894964300523,6730.680855495117,2105.5563125000003,11988.731495833334,440.50698284150786,1.3041666666666671,876.3333333333334
INTNED,Netherlands(BritNed),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,0.0749899020935756,0.06867611674567504,6730.680855495117,2105.5563125000003,11988.731495833334,200.55217033126712,0.0,538.3666666666668
INTNED,Netherlands(BritNed),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,-0.1531111145439876,-0.13049937829486452,7428.945709037391,2148.347972638889,13562.23134998643,239.95481251024077,-400.3625,876.1583333333334
INTNED,Netherlands(BritNed),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,-0.14937353809969886,-0.133908297875281,7428.945709037391,2148.347972638889,13562.23134998643,440.50698284150786,1.3041666666666671,876.3333333333334
INTNED,Netherlands(BritNed),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,0.12229246313161857,0.10627239614524536,7428.945709037391,2148.347972638889,13562.23134998643,200.55217033126712,0.0,538.3666666666668
INTNEM,Belgium (Nemolink),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,-0.1229597998243268,-0.13391360576408512,6730.680855495117,2105.5563125000003,11988.731495833334,329.8537386799838,-350.0291666666667,884.8083333333334
INTNEM,Belgium (Nemolink),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,-0.12245001531578892,-0.12286426436957804,6730.680855495117,2105.5563125000003,11988.731495833334,490.4984875883512,43.43333333333335,885.8625000000001
INTNEM,Belgium (Nemolink),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,0.1048048015094975,0.1365086739819711,6730.680855495117,2105.5563125000003,11988.731495833334,160.64474890836743,0.0,453.30833333333334
INTNEM,Belgium (Nemolink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,-0.1631651123516061,-0.1686971151432465,7428.945709037391,2148.347972638889,13562.23134998643,329.8537386799838,-350.0291666666667,884.8083333333334
INTNEM,Belgium (Nemolink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,-0.15905180396214127,-0.15351421702236911,7428.945709037391,2148.347972638889,13562.23134998643,490.4984875883512,43.43333333333335,885.8625000000001
