interconnectorId,interconnectorName,date,observations,signed_mw,import_mw,export_mw,import_gwh,export_gwh,net_gwh,wind_actual_mw,wind_before_curtailment_mw,wind_curtailment_proxy_mw,startTime,year,month,month_name,calendar_month,day_of_week,day_name,hour_utc,season,season_year,direction_state
INTELEC,Eleclink (INTELEC),2023-04-25 00:00:00+00:00,48,594.75,601.5416666666666,6.791666666666667,14.437,0.163,14.274000000000001,3411.7085958333337,3417.270748611112,5.562152777778711,2023-04-25 00:00:00+00:00,2023,4,April,2023-04,1,Tuesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-26 00:00:00+00:00,48,593.9166666666666,625.0416666666666,31.125,15.001,0.747,14.254,1205.4092416666665,1205.4092416666665,0.0,2023-04-26 00:00:00+00:00,2023,4,April,2023-04,2,Wednesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-27 00:00:00+00:00,48,228.16666666666666,316.9583333333333,88.79166666666667,7.607,2.131,5.476,7252.428674999999,7281.072818541662,28.644143541662572,2023-04-27 00:00:00+00:00,2023,4,April,2023-04,3,Thursday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-28 00:00:00+00:00,48,704.2916666666666,704.9166666666666,0.625,16.918,0.015,16.903,3914.808275000001,3919.9339694444466,5.125694444446533,2023-04-28 00:00:00+00:00,2023,4,April,2023-04,4,Friday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-29 00:00:00+00:00,48,726.9583333333334,726.9583333333334,0.0,17.447,0.0,17.447,897.94675,898.5998749999999,0.6531249999998773,2023-04-29 00:00:00+00:00,2023,4,April,2023-04,5,Saturday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-30 00:00:00+00:00,48,851.7083333333334,851.7083333333334,0.0,20.441,0.0,20.441,4205.794466666666,4205.794466666666,0.0,2023-04-30 00:00:00+00:00,2023,4,April,2023-04,6,Sunday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-01 00:00:00+00:00,48,916.5833333333334,916.5833333333334,0.0,21.998,0.0,21.998,3630.4693375,3630.4693375,0.0,2023-05-01 00:00:00+00:00,2023,5,May,2023-05,0,Monday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-02 00:00:00+00:00,48,680.4583333333334,680.4583333333334,0.0,16.331,0.0,16.331,1718.8556791666667,1718.8556791666667,0.0,2023-05-02 00:00:00+00:00,2023,5,May,2023-05,1,Tuesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-03 00:00:00+00:00,48,648.25,651.4166666666666,3.1666666666666665,15.634,0.07600000000000001,15.558,5302.0200125,5337.935118981482,35.91510648148236,2023-05-03 00:00:00+00:00,2023,5,May,2023-05,2,Wednesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-04 00:00:00+00:00,48,479.625,504.7916666666667,25.166666666666668,12.115,0.604,11.511000000000001,10816.76135,13248.536717785335,2431.7753677853357,2023-05-04 00:00:00+00:00,2023,5,May,2023-05,3,Thursday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-05 00:00:00+00:00,48,540.5833333333334,552.0,11.416666666666666,13.248,0.274,12.974,5304.75255,6119.998983590201,815.2464335902,2023-05-05 00:00:00+00:00,2023,5,May,2023-05,4,Friday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-06 00:00:00+00:00,48,736.125,736.125,0.0,17.667,0.0,17.667,3072.8882333333336,3075.853858333334,2.9656250000000646,2023-05-06 00:00:00+00:00,2023,5,May,2023-05,5,Saturday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-07 00:00:00+00:00,48,914.2916666666666,914.2916666666666,0.0,21.943,0.0,21.943,3248.8079541666666,3295.373671759275,46.56571759260828,2023-05-07 00:00:00+00:00,2023,5,May,2023-05,6,Sunday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-08 00:00:00+00:00,48,622.5416666666666,634.7083333333334,12.166666666666666,15.233,0.292,14.941,6278.5050083333335,6616.767856122718,338.2628477893832,2023-05-08 00:00:00+00:00,2023,5,May,2023-05,0,Monday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-05-09 00:00:00+00:00,48,809.1666666666666,809.1666666666666,0.0,19.42,0.0,19.42,2201.955466666667,2201.955466666667,0.0,2023-05-09 00:00:00+00:00,2023,5,May,2023-05,1,Tuesday,0.0,Spring,2023,import
