wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,observations,mean_wind_mw,min_wind_mw,max_wind_mw,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNEM,Belgium (Nemolink),lowest_20pct,4100,1101.5953890956641,-54.174,1988.8760000000009,492.3526829268293,804.0,618.8239024390244,126.47121951219512,1009.323,3192,884,24,77.85365853658537,21.5609756097561,0.5853658536585366
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNEM,Belgium (Nemolink),20_40pct,4096,2741.9211461762147,1989.6748000000011,3500.3542000000016,356.59765625,582.0,506.81787109375,150.22021484375,730.312,2906,1154,36,70.947265625,28.173828125,0.87890625
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNEM,Belgium (Nemolink),40_60pct,4098,4384.796423959173,3500.7300000000014,5425.185266666606,338.1224987798926,552.0,496.36359199609564,158.241093216203,692.813,2869,1199,30,70.00976085895559,29.258174719375308,0.7320644216691069
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNEM,Belgium (Nemolink),60_80pct,4099,6697.3988529062735,5425.821599999999,8314.965999999999,152.25859965845328,210.0,379.2154183947304,226.95681873627714,312.054,2431,1641,27,59.307148084898756,40.034154671871185,0.6586972432300561
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNEM,Belgium (Nemolink),highest_20pct,4099,11461.488311602454,8315.280000000002,18984.820333332627,-109.27494510856306,-164.0,264.5996584532813,373.87460356184437,-223.959,1804,2267,28,44.010734325445235,55.306172237131015,0.6830934374237618
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNSL,North Sea Link (INTNSL),lowest_20pct,2868,1205.0077800879437,-40.40199999999999,1988.8760000000009,972.8821478382148,1396.0,1015.9218967921897,43.03974895397489,1395.113,2525,319,24,88.04044630404462,11.122733612273361,0.8368200836820083
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNSL,North Sea Link (INTNSL),20_40pct,3491,2751.5573087189277,1989.6748000000011,3500.3542000000016,989.6568318533372,1396.0,1034.635920939559,44.97908908622171,1727.4460000000001,3056,408,27,87.53938699513033,11.68719564594672,0.7734173589229447
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNSL,North Sea Link (INTNSL),40_60pct,3536,4381.168377654041,3500.7300000000014,5425.185266666606,1010.5299773755656,1396.0,1057.4315610859728,46.90158371040724,1786.6170000000002,3106,357,73,87.8393665158371,10.096153846153847,2.0644796380090495
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNSL,North Sea Link (INTNSL),60_80pct,3688,6696.369456633084,5425.821599999999,8314.965999999999,941.9191973969631,1396.0,1000.3172451193059,58.39804772234273,1736.8990000000001,3150,412,126,85.412147505423,11.171366594360087,3.4164859002169194
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNSL,North Sea Link (INTNSL),highest_20pct,3933,11553.799717075632,8315.280000000002,18984.820333332627,524.8527841342486,696.0,687.1823035850496,162.32951945080092,1032.123,2678,1077,178,68.09051614543606,27.38367658276125,4.525807271802695
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTVKL,Denmark (Viking link),lowest_20pct,1070,1237.8226329833853,28.636199999999945,1987.9898000000003,610.6990654205607,929.0,702.396261682243,91.69719626168224,326.724,850,154,66,79.43925233644859,14.392523364485982,6.16822429906542
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTVKL,Denmark (Viking link),20_40pct,1399,2793.3163436295754,1989.6748000000011,3500.3542000000016,349.0092923516798,554.0,529.506790564689,180.4974982130093,244.132,879,392,128,62.83059328091494,28.02001429592566,9.1493924231594
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTVKL,Denmark (Viking link),40_60pct,1837,4419.6400584565545,3500.7372,5425.185266666606,369.26183995645073,558.0,549.5449101796407,180.28307022318998,339.167,1152,525,160,62.71094175285792,28.579205225911814,8.709853021230266
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTVKL,Denmark (Viking link),60_80pct,1975,6682.1200506647165,5425.821599999999,8314.35053333334,181.79443037974684,42.0,426.6146835443038,244.82025316455696,179.522,1012,693,270,51.24050632911392,35.08860759493671,13.670886075949367
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTVKL,Denmark (Viking link),highest_20pct,2551,12102.767883676388,8318.5068666666,18984.820333332627,-59.538220305762444,0.0,318.2312818502548,377.76950215601727,-75.94100000000002,989,1270,292,38.769110152881225,49.784398275186206,11.446491571932576
