wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,wind_bucket_observations,direction_observations,direction_share_pct,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,old_summary_mean_level_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_wind_mw,min_wind_mw,max_wind_mw,mean_level_mw,median_level_mw,min_level_mw,max_level_mw,mode_bin_lower_mw,mode_bin_upper_mw,most_probable_level_mw,mode_bin_count,mode_bin_probability_pct,mode_pdf_density_per_mw
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,2314,144,6.222990492653413,-427.1123595505618,-514.0,7.296456352636128,434.40881590319793,7.296456352636128,-494.169,144,2155,15,6.222990492653413,93.12878133102852,0.648228176318064,1812.2626472774418,15.667399999999992,2829.543599999999,117.25,60.0,4.0,500.0,0.0,100.0,50.0,88.0,61.111111111111114,0.006111111111111111
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,2314,2155,93.12878133102852,-427.1123595505618,-514.0,7.296456352636128,434.40881590319793,434.40881590319793,-494.169,144,2155,15,6.222990492653413,93.12878133102852,0.648228176318064,1812.2626472774418,15.667399999999992,2829.543599999999,466.4603248259861,514.0,6.0,516.0,500.0,600.0,550.0,1515.0,70.30162412993039,0.0070301624129930395
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),20_40pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,3202,281,8.77576514678326,-388.2704559650219,-514.0,18.422236102435978,406.6926920674578,18.422236102435978,-621.6210000000001,281,2861,60,8.77576514678326,89.35040599625235,1.8738288569643973,3933.523303372892,2830.7489999999984,5018.335199999999,209.92170818505338,216.0,2.0,506.0,0.0,100.0,50.0,103.0,36.654804270462634,0.0036654804270462634
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,3202,2861,89.35040599625235,-388.2704559650219,-514.0,18.422236102435978,406.6926920674578,406.6926920674578,-621.6210000000001,281,2861,60,8.77576514678326,89.35040599625235,1.8738288569643973,3933.523303372892,2830.7489999999984,5018.335199999999,455.16602586508213,514.0,2.0,516.0,500.0,600.0,550.0,1954.0,68.2977979727368,0.0068297797972736805
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),40_60pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,3458,440,12.724117987275882,-347.90225563909775,-514.0,34.828224407171774,382.7304800462695,34.828224407171774,-601.523,440,2968,50,12.724117987275882,85.82995951417004,1.4459224985540775,6281.14910746096,5018.8512,7611.486599999997,273.7181818181818,261.0,2.0,506.0,0.0,100.0,50.0,95.0,21.59090909090909,0.002159090909090909
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,3458,2968,85.82995951417004,-347.90225563909775,-514.0,34.828224407171774,382.7304800462695,382.7304800462695,-601.523,440,2968,50,12.724117987275882,85.82995951417004,1.4459224985540775,6281.14910746096,5018.8512,7611.486599999997,445.91711590296495,514.0,2.0,516.0,500.0,600.0,550.0,1930.0,65.02695417789758,0.006502695417789758
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),60_80pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,3180,423,13.30188679245283,-341.4050314465409,-514.0,36.77169811320755,378.1767295597484,36.77169811320755,-542.8340000000001,423,2695,62,13.30188679245283,84.74842767295597,1.949685534591195,9071.195174528302,7612.539400000001,10783.756,276.43971631205676,250.0,2.0,506.0,200.0,300.0,250.0,90.0,21.27659574468085,0.002127659574468085
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,3180,2695,84.74842767295597,-341.4050314465409,-514.0,36.77169811320755,378.1767295597484,378.1767295597484,-542.8340000000001,423,2695,62,13.30188679245283,84.74842767295597,1.949685534591195,9071.195174528302,7612.539400000001,10783.756,446.23450834879407,514.0,2.0,516.0,500.0,600.0,550.0,1759.0,65.26901669758813,0.0065269016697588125
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),highest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,3830,822,21.462140992167104,-273.20313315926893,-462.0,55.61618798955614,328.81932114882505,55.61618798955614,-523.1840000000002,822,2987,21,21.462140992167104,77.98955613577023,0.5483028720626633,13079.995910652742,10784.7864,17142.889999999996,259.1362530413625,223.0,2.0,506.0,200.0,300.0,250.0,208.0,25.304136253041364,0.0025304136253041366
wind_actual_mw,Actual wind output,All,INTGRNL,Ireland (Greenlink),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,3830,2987,77.98955613577023,-273.20313315926893,-462.0,55.61618798955614,328.81932114882505,328.81932114882505,-523.1840000000002,822,2987,21,21.462140992167104,77.98955613577023,0.5483028720626633,13079.995910652742,10784.7864,17142.889999999996,421.6196853029796,514.0,4.0,516.0,500.0,600.0,550.0,1745.0,58.41981921660528,0.005841981921660529
wind_actual_mw,Actual wind output,All,INTIFA2,IFA2 (INTIFA2),lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15712,10671,67.91624236252545,409.24541751527494,715.0,555.2516547861508,146.00623727087577,555.2516547861508,3215.032,10671,5029,12,67.91624236252545,32.00738289205703,0.07637474541751527,1651.2823973523425,-115.2388,2830.466,817.5535563677256,986.0,2.0,1156.0,900.0,1000.0,950.0,6303.0,59.06662918189486,0.005906662918189486
wind_actual_mw,Actual wind output,All,INTIFA2,IFA2 (INTIFA2),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15712,5029,32.00738289205703,409.24541751527494,715.0,555.2516547861508,146.00623727087577,146.00623727087577,3215.032,10671,5029,12,67.91624236252545,32.00738289205703,0.07637474541751527,1651.2823973523425,-115.2388,2830.466,456.16424736528137,376.0,2.0,1030.0,0.0,100.0,50.0,1926.0,38.297872340425535,0.003829787234042553
