bm_unit_id,rows_in_requested_window,first_startTime,last_startTime,total_actual_mwh,total_before_curtailment_mwh
T_GLNKW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,420896.6681,599955.9137597879
T_GLWSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,541669.4139,606584.842622222
T_GNAPW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,190588.81810000003,204575.85393333342
T_GNFSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1414437.9797999999,1419963.3310777778
T_GNFSW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,904119.3130000001,907574.605
T_GORDW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,769989.8587,941373.0047044465
T_GORDW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,226833.4828,548217.5675758516
T_GRGBW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2521490.7671999997,2543224.126591389
T_GRGBW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2634901.4638,2653995.2471333332
T_GRGBW-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2226309.8419,2245034.366456251
T_GRIFW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,606655.1208,760948.8394757912
T_GRIFW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,671009.5022999999,822625.3443032926
T_GYMR-15,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2064251.672,2066068.8101666667
T_GYMR-17,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1317662.677,1319182.2394444444
T_GYMR-26,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1944824.68,1947238.4491111112
T_GYMR-28,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1940760.1800000002,1943136.4896666666
T_HADHW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,918682.7198000001,1014903.5806802646
T_HAGHW-2,9170,2025-06-23 23:00:00+00:00,2025-12-31 23:30:00+00:00,42148.4575,42148.4575
T_HAHAW-1,11810,2025-04-29 23:00:00+00:00,2025-12-31 23:30:00+00:00,30731.2762,30731.2762
T_HALSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,252388.37660000002,472832.2924347912
T_HMGTO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1865749.3611,1866848.4367666666
T_HMGTO-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1753850.6166,1754855.1552666668
T_HOWAO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,7204365.2348,7229790.75341441
T_HOWAO-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,7377423.4153,7400872.366085534
T_HOWAO-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,7331123.675899999,7358094.260102008
T_HOWBO-1,69072,2022-01-15 00:00:00+00:00,2025-12-31 23:30:00+00:00,6008788.2555,6076302.158249677
T_HOWBO-2,69072,2022-01-15 00:00:00+00:00,2025-12-31 23:30:00+00:00,6089470.4858,6135032.089118272
T_HOWBO-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,6630473.757999999,6654073.251191303
T_HRSTW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1071947.8348,1134332.2436354174
T_KENNW-1,73154,2021-10-21 23:00:00+00:00,2025-12-31 23:30:00+00:00,442173.13,583251.3059726851
T_KILBW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,708126.4013,801271.9873555559
T_KLGLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2631694.0411,2934180.6521702083
T_KPMRW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,838056.7673000001,1041223.1703583335
T_KTHLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,37264.4496,37264.4496
T_KYPEW-1,56882,2022-09-25 23:00:00+00:00,2025-12-31 23:30:00+00:00,452586.36530000006,501721.1663689443
T_LARYW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2550885.6071999995,2556300.1452114587
T_LARYW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2365876.7428,2370147.695466667
T_LARYW-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2538142.597,2542892.0490073613
T_LARYW-4,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2563137.5033,2569380.7033025003
T_LCLTW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,548405.1982,690184.2662218708
T_LIMKW-1,20786,2024-10-21 23:00:00+00:00,2025-12-31 23:30:00+00:00,102709.85029999999,214615.71944920212
T_LNCSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2083571.837,2084271.325611111
T_LNCSW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2265428.8764,2266423.348788889
T_MIDMW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,432780.5343,537334.8478020143
T_MILWW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,669799.7431000001,725857.9198777782
T_MKHLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,453134.38920000003,469546.4112
T_MOWEO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,3340443.0936,5120515.0597764645
