analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,bin_width_mw,bin_lower_mw,bin_upper_mw,bin_midpoint_mw,bin_observations,direction_observations,probability,probability_pct,probability_density_per_mw,cumulative_probability,cumulative_probability_pct
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5600.0,5700.0,5650.0,233,15442,0.015088719077839659,1.5088719077839658,0.0001508871907783966,0.7532055433234037,75.32055433234038
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5700.0,5800.0,5750.0,286,15442,0.018520916979665847,1.8520916979665847,0.00018520916979665846,0.7717264603030696,77.17264603030696
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5800.0,5900.0,5850.0,247,15442,0.015995337391529595,1.5995337391529596,0.00015995337391529595,0.7877217976945992,78.77217976945991
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5900.0,6000.0,5950.0,275,15442,0.01780857401890947,1.7808574018909469,0.0001780857401890947,0.8055303717135086,80.55303717135087
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,6000.0,6100.0,6050.0,223,15442,0.014441134568061132,1.4441134568061131,0.00014441134568061133,0.8199715062815698,81.99715062815697
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,6100.0,6200.0,6150.0,213,15442,0.013793550058282606,1.3793550058282606,0.00013793550058282606,0.8337650563398523,83.37650563398523
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,6200.0,6300.0,6250.0,202,15442,0.013081207097526228,1.3081207097526228,0.00013081207097526227,0.8468462634373786,84.68462634373786
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,6300.0,6400.0,6350.0,182,15442,0.011786038077969175,1.1786038077969174,0.00011786038077969175,0.8586323015153478,85.86323015153478
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,6400.0,6500.0,6450.0,225,15442,0.014570651470016837,1.4570651470016838,0.00014570651470016837,0.8732029529853645,87.32029529853645
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,6500.0,6600.0,6550.0,233,15442,0.015088719077839659,1.5088719077839658,0.0001508871907783966,0.8882916720632043,88.82916720632042
