analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,bin_width_mw,bin_lower_mw,bin_upper_mw,bin_midpoint_mw,bin_observations,direction_observations,probability,probability_pct,probability_density_per_mw,cumulative_probability,cumulative_probability_pct
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4600.0,4700.0,4650.0,1147,76832,0.014928675551853395,1.4928675551853394,0.00014928675551853396,0.6906497292794669,69.06497292794668
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4700.0,4800.0,4750.0,1231,76832,0.016021970012494793,1.6021970012494793,0.00016021970012494794,0.7066716992919617,70.66716992919618
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4800.0,4900.0,4850.0,1182,76832,0.015384214910453978,1.5384214910453977,0.00015384214910453979,0.7220559142024157,72.20559142024156
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4900.0,5000.0,4950.0,1197,76832,0.015579446064139942,1.5579446064139941,0.0001557944606413994,0.7376353602665556,73.76353602665556
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5000.0,5100.0,5050.0,984,76832,0.01280716368179925,1.280716368179925,0.00012807163681799252,0.7504425239483549,75.04425239483548
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5100.0,5200.0,5150.0,1068,76832,0.01390045814244065,1.390045814244065,0.0001390045814244065,0.7643429820907955,76.43429820907956
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5200.0,5300.0,5250.0,1056,76832,0.013744273219491879,1.3744273219491878,0.00013744273219491878,0.7780872553102873,77.80872553102873
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5300.0,5400.0,5350.0,1086,76832,0.014134735526863807,1.4134735526863806,0.00014134735526863808,0.7922219908371512,79.22219908371511
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5400.0,5500.0,5450.0,1055,76832,0.013731257809246148,1.3731257809246147,0.0001373125780924615,0.8059532486463973,80.59532486463972
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5500.0,5600.0,5550.0,917,76832,0.011935131195335277,1.1935131195335278,0.00011935131195335277,0.8178883798417326,81.78883798417326
