analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,percentile,percentile_label,level_mw,direction_observations,direction_duration_hours,direction_share_of_operational_half_hours_pct,operational_observations,first_timestamp,last_timestamp
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,5,P5,8.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,10,P10,10.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,20,P20,28.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,30,P30,58.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,40,P40,80.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,50,P50,138.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,60,P60,178.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,70,P70,204.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,75,P75,204.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,85,P85,234.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
